!ENTER	[] sil
!EXIT	[] sil
sil		sil 
eet0xxLLxxNN	ee t0 xx ll xx nn sp
hhaaK0k0yo	hh aa k0 kk yo sp
hhaaK0k0yoees0vv	hh aa k0 kk yo ee s0 vv sp
hhaaK0mmaaxxLL	hh aa ng mm aa xx ll sp
hhaaK0s0eengii	hh aa k0 ss ee ng ii sp
hhaaLL	hh aa ll sp
hhaaLLTHaa	hh aa ll th aa sp
hhaaLLc0iillaat0oo	hh aa ll c0 ii ll aa t0 oo sp
hhaaLLmmvvnniinnxxNN	hh aa ll mm vv nn ii nn xx nn sp
hhaaMMkkee	hh aa mm kk ee sp
hhaaMMyangk0wa	hh aa mm ya ng k0 wa sp
hhaaNN	hh aa nn sp
hhaaNNchaaMM	hh aa nn ch aa mm sp
hhaaNNchaangiivvSSt0aa	hh aa nn ch aa ng ii vv t0 tt aa sp
hhaaNNk0aauuNNt0ee	hh aa nn k0 aa uu nn t0 ee sp
hhaaNNk0aauuNNt0eeee	hh aa nn k0 aa uu nn t0 ee ee sp
hhaaNNp0vvNN	hh aa nn p0 vv nn sp
hhaaNNphyvNNxxlloonnxxNN	hh aa nn ph yv nn xx ll oo nn xx nn sp
hhaaNNphyvngs0eeng	hh aa nn ph yv ng s0 ee ng sp
hhaaNNt0aa	hh aa nn t0 aa sp
hhaaNNt0aaNN	hh aa nn t0 aa nn sp
hhaaNNt0aammyvNN	hh aa nn t0 aa mm yv nn sp
hhaaNNt0aat0vvk0uuNN	hh aa nn t0 aa t0 vv k0 uu nn sp
hhaaNNyonguuNNxxNN	hh aa nn yo ng uu nn xx nn sp
hhaac0aa	hh aa c0 aa sp
hhaac0iimmaannxxNN	hh aa c0 ii mm aa nn xx nn sp
hhaak0eeSSc0iimmaaNN	hh aa k0 ee t0 cc ii mm aa nn sp
hhaak0eeSSt0aa	hh aa k0 ee t0 tt aa sp
hhaak0ii	hh aa k0 ii sp
hhaak0oo	hh aa k0 oo sp
hhaak0vvnnaa	hh aa k0 vv nn aa sp
hhaalluuhhaalluuk0aa	hh aa ll uu hh aa ll uu k0 aa sp
hhaammyvNN	hh aa mm yv nn sp
hhaammyvNNs0vv	hh aa mm yv nn s0 vv sp
hhaannaa	hh aa nn aa sp
hhaannaannxxNN	hh aa nn aa nn xx nn sp
hhaannaaxi	hh aa nn aa xi sp
hhaannxxLLlloo	hh aa nn xx ll ll oo sp
hhaannxxLLxi	hh aa nn xx ll xi sp
